id,problem,answer,topic,source
aimo3_hard_f7e9534b,"Assume the system of equations can be written in matrix form \( Ax = B \) with \( c = 3 \). Set up the matrices \( A \), \( x \), and \( B \), and calculate the determinant of \( A \).",20,alg_equations,aimo3_hard
limo_e8f3fd8e,"The solutions to the system of equations \begin{align*} \log_{225}{x}+\log_{64}{y} = 4\\ \log_{x}{225}- \log_{y}{64} = 1 \end{align*} are $(x_1,y_1)$ and $(x_2, y_2)$ . Find $\log_{30}{(x_1y_1x_2y_2)}$ .",12,alg_equations,limo
limo_39d6d8df,"The system of equations \begin{eqnarray*}\log_{10}(2000xy) - (\log_{10}x)(\log_{10}y) & = & 4 \\ \log_{10}(2yz) - (\log_{10}y)(\log_{10}z) & = & 1 \\ \log_{10}(zx) - (\log_{10}z)(\log_{10}x) & = & 0 \\ \end{eqnarray*} has two solutions $(x_{1},y_{1},z_{1})$ and $(x_{2},y_{2},z_{2})$ . Find $y_{1} + y_{2}$ .",25,alg_equations,limo
aimo3_hard_89a7dfcb,Solve the logarithmic equation: $\log_2(x^2 − 5x − 28) = 3$,9,alg_equations,aimo3_hard
limo_c44d3ea3,"In a Martian civilization, all logarithms whose bases are not specified are assumed to be base $b$ , for some fixed $b\ge2$ . A Martian student writes down \[3\log(\sqrt{x}\log x)=56\] \[\log_{\log x}(x)=54\] and finds that this system of equations has a single real number solution $x>1$ . Find $b$ .",216,alg_equations,limo
aimo3_hard_336e0a9d,Solve for \( x \): \( \log(\ln x) = \ln(\log x) \),78.8916941374844,alg_equations,aimo3_hard
bigmath_7f94cda8,"The temperature change of an object at room temperature can be described by Newton's Law of Cooling: suppose the initial temperature of the object is $T_0$, and its temperature after a certain time $t$ is $T$. Then, the equation $T - T_a = (T_0 - T_a) \left(\frac{1}{2}\right)^{\frac{t}{h}}$ describes this process, where $T_a$ represents the ambient temperature and $h$ is known as the half-life. Consider a cup of instant coffee made with hot water at 88°C placed in a room at 24°C. If the coffee cools to 40°C in 20 minutes, how many more minutes are needed for the coffee to cool from 40°C to 32°C?",10,alg_equations,bigmath
bigmath_9b606dcd,"If the solution set of the inequality $x^2 - ax < 0$ is $\{x \mid 0 < x < 1\}$, then $a = \ \boxed{?}$.",1,alg_inequality,bigmath
bigmath_53b2be09,"If the solution set of the inequality $x^2+x-m>0$ is $\{x|x<-3 \text{ or } x>2\}$, then $m=\boxed{6}$.",6,alg_inequality,bigmath
aimo3_hard_106850a7,How many 3-level labeled rooted trees with 3 leaves are there?,1704,alg_polynomial,aimo3_hard
aimo3_hard_7472a8b3,"Given the function \( f(x) = 3 \cdot \sin(x) \), find \( f'(x) \) and evaluate \( f'(3) \) in degrees.",0.0523,alg_polynomial,aimo3_hard
aimo3_hard_aef18208,A steep mountain is inclined at a 74-degree angle to the horizontal and rises to a height of 3400 ft above the surrounding plain. A cable car is to be installed running to the top of the mountain from a point 980 ft out in the plain from the base of the mountain. Find the shortest length of cable needed. Round to the nearest hundredth.,3921.96,alg_polynomial,aimo3_hard
aimo3_hard_bb6ac2ad,"Graph \( G \) has 9 vertices and 21 edges. Three vertices have degree \( x \), three have degree \( y \), and three have degree \( z \). How many different graphs \( G \) could satisfy these criteria?",7,alg_polynomial,aimo3_hard
aimo3_hard_425f6bc6,An ant moves along the segments of a cubic grid from $A_0$ to $K_2$. How many shortest ways are there for the ant if it moves along arbitrary segments?,90,alg_polynomial,aimo3_hard
aimo3_hard_20d73864,"Given that \( \lvert f^n(x) \rvert < 10^{\frac{n}{3}} \) for \( -4 \le x \le 4 \) and \( n = 1, 2, \ldots, 5 \), find an upper bound on the error in the approximation of \( y \) at \( x = 0 \) using the Lagrange interpolation polynomial. Use the error formula \( E = \frac{1}{(n+1)!} f^{(n+1)}(\xi) (x - x_0)(x - x_1) \cdots (x - x_n) \).",0,alg_polynomial,aimo3_hard
bigmath_57b1f60d,"A farmer is checking his fields to make sure all of his crops are growing as they should. Normally, rows of corn stalks produce between 10 to 14 corn cobs each, rows of potatoes produce between 35 to 45 potatoes each, and rows of wheat produce between 55 to 65 wheat stalks each. As he’s checking crop quality, he notices that there are more pests than usual and they have destroyed some of his crops. However, he has implemented three different pest control measures (A, B, and C) with varying degrees of success.

For the corn crops, pest control A reduced the damage by 40%, B by 60%, and C by 25%. For the potato crops, A reduced the damage by 50%, B by 30%, and C by 60%. Finally, for the wheat crops, A reduced the damage by 20%, B by 55%, and C by 35%. The farmer has distributed the pest control measures equally among the crop rows.

If the farmer has 30 rows of corn stalks, 24 rows of potatoes, and 36 rows of wheat, and considering the variation in crops per row and fluctuating pest damage rates, how many crops does the farmer still have after implementing the pest control measures?",2090,alg_polynomial,bigmath
limo_08249990,"The increasing geometric sequence $x_{0},x_{1},x_{2},\ldots$ consists entirely of integral powers of $3.$ Given that $\sum_{n=0}^{7}\log_{3}(x_{n}) = 308$ and $56 \leq \log_{3}\left ( \sum_{n=0}^{7}x_{n}\right ) \leq 57,$ find $\log_{3}(x_{14}).$",91,alg_sequences,limo
aimo3_hard_e2001d21,"Given the sequence $(2, 3, 5, 4)$, calculate $\limsup_{n\to\infty} x_n$ using the definition $\limsup_{n\to\infty} x_n:=\inf_n(\sup_{k\geq n}x_k)$.",4,alg_sequences,aimo3_hard
bigmath_ea682acc,"On the first day of the journey, the Skipper sailed his ship halfway to the destination by traveling due east for 20 hours at a speed of 30 kilometers per hour, navigating around a series of islands and strong ocean currents. He skillfully adjusted his course to avoid these obstacles, adding an additional 15% to his planned travel distance. After 20 hours, he turned the ship's engines off to let them cool down. 

But while the engines were off, a wind storm blew his vessel backward in a westward direction. After the storm, the Skipper used his GPS device to determine the new location of the ship and discovered that he was only one-third of the way to his destination. Considering the additional distance traveled due to the obstacles and the effect of the wind storm, how many kilometers had the ship been blown in a westward direction by the storm?",230,alg_sequences,bigmath
bigmath_1a7d5b0f,"The Pinedale bus line travels at varying average speeds between stops, and has stops with different distances along its route. Yahya wants to go from his house to the Pinedale Mall, which is 8 stops away. The average speeds between stops are listed in the following sequence: 40 km/h, 50 km/h, 60 km/h, 45 km/h, 55 km/h, 70 km/h, 65 km/h, 40 km/h. In addition, due to construction, Yahya has to walk 0.5 km between the 3rd and 4th stop at an average speed of 5 km/h. Considering these varying speeds and distances, how far away, in kilometers, is Pinedale Mall from Yahya's house?

(Note: The bus travels at a constant speed between stops, the distances between stops are not provided)",0.5,alg_sequences,bigmath
bigmath_e94549ae,"A thief steals a Santro car and drives away at a speed of 45 kmph. The theft is discovered after half an hour, and the owner sets off in pursuit on a bike at a speed of 50 kmph. The thief encounters varied terrains during the escape, which affect the car's speed. The first terrain is a mud road that causes the car's speed to drop to 35 kmph for a distance of 30 kilometers. After that, the thief encounters a series of speed bumps that reduce the car's speed to 40 kmph for 5 kilometers. Following that, the thief continues driving through traffic at an average speed of 30 kmph. When will the owner overtake the thief, considering the terrains and obstacles mentioned above?",1.482,alg_sequences,bigmath
bigmath_e5a45f13,"A series of lockers, numbered 1 through 100, are all initially closed. Student 1 goes through and opens every locker. Student 3 goes through and ""flips"" every 3rd locker (""flipping"") a locker means changing its state: if the locker is open he closes it, and if the locker is closed he opens it). Thus, Student 3 will close the third locker, open the sixth, close the ninth. . . . Student 5 then goes through and ""flips""every 5th locker. This process continues with all students with odd numbers  $n<100$  going through and ""flipping"" every  $n$ th locker. 

How many lockers are open after this process?",10,alg_sequences,bigmath
